,class,complain
743,Minor,The defendant recruited a fifteen year old minor victim through the promises of earning 600 a day He then took sexually explicit photographs of the minor and posted them as advertisements online The defendant would the drive the victim to hotel rooms to engage in commercial sex trafficking 
228,Notrelated,Lack of team work and ability to work towards common company goals Senior leadership is detached from the day to day and the customer needs Too many changes in direction
54,Notrelated,Those in power ie managers etc are all that matters Lower level good luck
115,Notrelated,unprofessional environment no respect for employees not a good place to work its a plumbing company so do not expect professionalism no room for growth
139,Notrelated,Management completely disconnected from workers More than half of the guards are undisciplined and lazy Badly underpaid Hours constantly randomly changenan
128,Notrelated,Limited resources crowded space trouble dealing with what at times is an extremely abusive patient population
959,Minor,The defendants sold a 16 year old homeless girl for sex out of their apartment in exchange giving her food housing and cocaine 
664,Minor,Juan Reyes Rojas convinced two Mexican teenagers including one minor that they would have a better life in the United States and promised to marry them or help them get jobs After smuggling them over he forced them to work as prostitutes for 1025 men a night He and his brothers physically abused them if they did not comply and flew them all over the country in order to pimp them 
544,Minor,The defendants kidnapped a girl under the age of 16 when she was lost The defendants then took the girl to a hotel room and forced her to disrobe They then took pictures of her and planned to post them on a website to advertise her for prostitution 
353,Labor,Defendants recruited at least six South African nationals to come to the United States under false pretenses  They then forced the South African women into domestic servitude with little or no pay and physically assaulted at least one of the victims
259,Notrelated,Doesnt seem to have much room to move around especially if youre starting out as a sales advisors No commission and no incentive to even try to move up This is also a very young company and for a company that prides itself in being inclusive and diverse there sure doesnt seem to be a whole lot of older people and people of colour in management positions and above Also as an experienced sales person Im not getting paid as much as those in some solo practices If it wasnt for the promise of being licensed I would have said no to the pay Its really insulting for someone whos been in the industry for over 5 years The company also seems to still be trying to find its footing in terms of product offering even after almost 10 years They just added contact lenses and progressive lenses in the last couple years and even then it feels bare bones I feel embarrassed that we cant offer some of the more current and diversified product that is on the market and that our product looks more like a cheap knockoff of our competitors
495,Minor,The defendant recruited a sixteen year old victim to engage in commercial sex acts The defendant along with his partner took sexually explicit photographs of the victim and posted them online as an advertisement An undercover police officer responded to the advertisement and the defendant and his partner were arrested The defendants also distributed marijuana and crack cocaine to the victim 
401,Labor,If you are the application owner check the logs for more information
320,Labor,The defendants conspired to engage in an enterprise that recruited employed and harbored illegal aliens in the US  The defendants created and attained fictitious documentation for numerous illegal aliens in order to commit labor trafficking  The defendants created a fake business entity in order to aid the conspiracy
412,Labor,Defendants brought two thenteenage girls age 14 and age 17 to the United States from Cameroon Defendants told the girls and their families that in exchange for performing light housework the girls would have the opportunity to attend school in the United States Once here defendants used threats and physical violence including sexual abuse to force the victims to work long days as domestic servants and nannies The defendants also controlled and manipulated the girls by threatening to deport them The victims received no compensation and were not permitted to attend school
246,Notrelated,Despite being a multifaceted role where you will ideally learn multiple aspects of the business and likely have more knowledge of the platform than most people you report to there are next to zero career advancement opportunities in this role I know coworkers who were there for 1 years before I was and still have the same role they had when they got there The vast majority of my experiences in working with management from my day to day manager all the way up to Logan Green and other SF based leadership I met were toxic and uncomfortable Managers love to smile nod and say I hear you but whenever you raise any type of concern even if it could help the company in the big picture The company cultureattitude towards Community Associates isnt a healthy one and despite the corporate labeling of the role youre rarely treated like you actually work for the company in the one instance I met the CEO he literally walked away from me mid sentence while I introduced myself as a Community Associate and fun fact it was my fifth day at Lyft what an awesome way to feel welcome at a new job Prepare to feel heard and never listened to
1339,Adult,The defendants ran five brothels throughout CA They would find illegal immigrants from Latin America at flea markets and pass out business cards Once they recruited the victims the defendants would then force them to engage in commercial sex acts The defendants would rotate the victims every Sunday to one of the five brothels The victims were also sometimes forced to engage in street prostitution on Los Angeles 
1048,Minor,The defendant was the father of the victims friend The victim asked the defendant for a job at his windowwashing company However he began to force her to engage in commercial sex acts and told her she had to meet the set 1200 quota The defendant would frequently beat rape and threaten to kill the victim The victim stated she knew other women were also forced to engage in prostitution for the defendant
328,Labor,The government alleged that defendants conspired to hold 600 Thai nationals in a condition of forced labor and service The object of the conspiracy was to obtain and maintain a cheap and compliant work force for large agricultural farms The defendants kept the workers on the farm in a condition of servitude by forcing them to incur substantial debt and through threats of deportation arrest and repatriation Defendants forced the workers to incur debts from 9000 to 27000 in order to come to the United States to work The government dropped the charges after determining that it could not reach the standard of proof required for criminal charges
1436,Adult,Two female victims one of which was underage were forced into prostitution by walking the track Southeast 82nd and through internet ads where they would be advertised to johns The victims would not be allowed to eat until they met their daily quotas The defendants would transport the victims between Washington and Oregon using Amtrak and Greyhound
242,Notrelated,Its simply not worth it Lots of bureaucracy at UNHQ duplicating of efforts so stuff can take a long time to get done and sometimes for naught You may have to seek out extra work to really get enough experience and learn stuff be prepared to be super proactive Sexual harassment victims are not supported perpetrators are often promoted out of trouble It can be awkward if youre super young dealing with grown adults with huge egos for the first time be prepared for petty drama Going through security every morning lol
323,Labor,At least 20 girls and young women from Honduras were forced to dance at bars drink with customers and encouraged to prostitute themselves to pay back thousands of dollars in smuggling debts to the defendants who were part of a ring reaching from New Jersey to Honduras The alleged debts to the smugglers were as high as 20000 per victim The victims ages ranged from 14 to midtwenties and they were all recruited in Honduras with promises for legitimate work in a restaurant in New Jersey On the way to the US many of them were raped At least three of them were forced to abort subsequent pregnancies including at least one lateterm abortion Physical abuse threats of abuse to the victims and their families in Honduras threats of deportation and warnings not to trust law enforcement were used to deter the victims from escaping
86,Notrelated,Located in a very old greenhouse on a huge property Third generation is starting soon We do not know what to expect They have a real issue about violating noncompete agreements
1180,Adult,The defendants forced five victims including one minor to engage in commercial sex acts in NY NJ OH PA NV and MD White ran the prostitution ring and frequently subjected the victims to countless beatings over the period of six years Connelly was referred to by the prosecutors as a victim as well although she was also indicted for her role in trafficking the other five victims The defendant would provide the victims with alcohol and marijuana The defendant would force the victims to watch the defendant beat his codefendant with a broom handle belt and straightener On at least one occasion victims were forced to stay awake by consuming Red Bull and pills The defendant beat one of the victims while she was seven months pregnant The defendant also impregnated a victim forced her to get an abortion and forced her to perform sexual acts with clients the same day as the procedure
1254,Adult,ValleMaldonado worked with coyotes to smuggle women and girls across the Mexican border The women two of whom were minors 14 and 15 then had to work as prostitutes in her massage parlor for 56 months in order to pay her back It is unclear whether or not they were able to leave after that time or if there had been others before them 
769,Minor,The defendant was detained by police for violating parole However upon his arrest it became clear that the defendant was harboring a sixteen year old minor victim and forcing her to engage in commercial sex acts 
421,Labor,The Udeozor family smuggled in a 14yearold girl from Nigeria using one of their childrens passports Upon arrival the victim believed she would be paid to look after the familys children however she was forced to be an indentured servant to the family The victim reported that during her fiveyear captivity the male defendant would frequently rape her while the female defendant would often beat her 
342,Labor,Defendants Antonio and Jasmin Rivera owned and operated two bars in New York From 20052008 the Riveras recruited women who had entered the country illegally from Latin America to work as waitresses After the women agreed to work the defendants forced them to engage in commercial sex acts with patrons and other persons at the bar threatening them with physical violence if they did not comply Defendants kept a portion of the proceeds from the womens work 
1392,Adult,Juan Reyes Rojas convinced two Mexican teenagers including one minor that they would have a better life in the United States and promised to marry them or help them get jobs After smuggling them over he forced them to work as prostitutes for 1025 men a night He and his brothers physically abused them if they did not comply and flew them all over the country in order to pimp them 
690,Minor,The victims were recruited through social media accounts and through the Department of Social Services and women shelters The defendants waited until young girls came outside then promised them money and drugs  sometimes also using the threat of force Victims were taken from Rochester to Buffalo Syracuse Albany Utica and NJ to engage in sex acts The defendants kept the money earned from any sex acts 
691,Minor,The defendant forced a thirteenyearold minor victim to engage in commercial sex acts The defendant confiscated all wages earned by the victim After the victim attempted to leave the situation the defendant beat the victim with a stick While in prison the defendant made several calls to people to intimidate the victim and witnesses so that they would not testify against him 
1118,Adult,Defendants Antonio and Jasmin Rivera owned and operated two bars in New York From 20052008 the Riveras recruited women who had entered the country illegally from Latin America to work as waitresses After the women agreed to work the defendants forced them to engage in commercial sex acts with patrons and other persons at the bar threatening them with physical violence if they did not comply Defendants kept a portion of the proceeds from the womens work 
249,Notrelated,Favoritism reigns over merit Decision making happens behind closed doors and does not align with any reasonable strategy Company unwilling to pay market wages so unable to retain any real talent
1123,Adult,Defendants knowingly conspired to recruit entice harbor transport and obtain by any means necessary a female who had not yet attained 18 years of age with the intent to force her to engage in commercial sex acts in an interstate prostitution scheme  The underaged female was transported to several different states including California Washington and Oregon for the purpose of providing prostitution services Including one minor under the control of Deonte Santos in the related case listed
483,Minor,The defendant a member of Underground Gangster Crips recruited minor females in person and over the internet groomed them by forcing them to engage in sex acts with the gang members then intimidated and coerced the minors to engage in commercial sex acts  
1146,Adult,The defendants recruited and maintained juvenile and adult females to work in prostitution through force fraud and coercion  
112,Notrelated,Installers are struggling to provide for their families They cannot provide steady work Stay away Gold medal is no longer the place to be
149,Notrelated,They were really slow to get out the materials when we changed health insurance companies although they knew it was coming months in advance They are also limited by their contract with the US Government in what they really know and what they can saynan
1139,Adult,The defendants operated andor were associated with a vertically integrated enterprise that prostituted young women  The enterprise ran numerous brothels in the Southern and Eastern Districts of New York and hired drivers doormen and steerers to maintain and operate the brothels  The defendants used force fraud and coercion to cause numerous individuals young women and girls smuggled in from Mexico to perform commercial sex acts  The defendants would distribute business cards advertising the prostitution services of no less than 4 women who had been forced into prostitution by the enterprise  
747,Minor,The defendants coerced a minor to engage in commercial sex trafficking keeping half of all of the victims earnings The defendants took sexually suggestive photographs of the victim and posted them online as advertisements 
1167,Adult,Defendant prostituted women in interstate commerce  The victims included at least two minor female victims and one adult  Defendant also had intercourse with the minor prostitutes
484,Minor,Defendants trafficked women and minor girls from Russia into Alaska to dance nude in strip clubs The victims nine young female Russian folk dancers were told they would be participating in folk shows across the US When they arrived in the US however defendants took their passports and return tickets and forced them to dance nude at strip clubs 
368,Labor,The defendants made illegal Mexican immigrants work in their restaurants for little to no pay 
366,Labor,Defendants kidnapped a teenage girl from Buffalo NY after meeting her at a birthday party and becoming infatuated with her The two offered her a ride to school then took her across the country to Indiana where they held her in Fort Wayne and Logansport for months She was forced to cook take care of Sullivans children and do housework She was consistently sexually abused by Soe Charges were dismissed by the federal government The decision came according to records from New Yorks western federal court district after the prosecution reached a resolution with the alleged victim and her family that would allow the teenager to avoid testifying about what happened In exchange Soe agreed to plead guilty in Buffalos City Court to a harassment charge that entails no jail time Sullivan was cleared of any wrongdoing
1349,Adult,At least 20 girls and young women from Honduras were forced to dance at bars drink with customers and encouraged to prostitute themselves to pay back thousands of dollars in smuggling debts to the defendants who were part of a ring reaching from New Jersey to Honduras The alleged debts to the smugglers were as high as 20000 per victim The victims ages ranged from 14 to midtwenties and they were all recruited in Honduras with promises for legitimate work in a restaurant in New Jersey On the way to the US many of them were raped At least three of them were forced to abort subsequent pregnancies including at least one lateterm abortion Physical abuse threats of abuse to the victims and their families in Honduras threats of deportation and warnings not to trust law enforcement were used to deter the victims from escaping
234,Notrelated,Management I can not stress this enough they hire desperate transplants who would rather try and be a friend to only get you fired Very weird creepy and handsy if not that the managers were always absent on peak days or would over staff on slow days there was no team building managers would only play into the games and trash talk they also punished people for write ups to get them fired when they knew who was stealing To add if they would stay to close these things wouldnt happen Also to add there was no way to voice concerns people would fake care and tell whomever is the issue to cause further problems rather than resolve In short if you are vegan or care NEED not apply you will be around people who only care about moving ahead of you and making more money than you As far as the work I would agree with other posts over worked underpaid
199,Notrelated,Managementresources are cheap Below average wages the kitchen is malequipped for the amount of people working there Little food available on the spot Lots of politics and very chaotic for a multinational corporation High turnover
518,Minor,Casey Bastian produced and received visual depictions of a minor engaging in sexually explicit conduct
285,Notrelated,They expect a lot and pay very little The commission structure is trash The time off is trash you only get 5 personal days in a year and they restrict that to 2 per quarter which i guess they cant do math because that doesnt even work out to be even
1247,Adult,The defendant transported two victims one of which was underage to several cities to engage in prostitution at hotels The defendant also engaged in money laundering
1275,Adult,Defendants smuggled a 14yearold girl into the United States from Mexico in order to engage in a prostitution ring in North Carolina The victim was then traded in South Carolina to engage in prostitution in that state While in South Carolina the victim was forced to have sex with dozens of men each day
457,Minor,In 2005 the defendant began smuggling Latin American women into the United States from Columbia and Guatemala for between 1500020000 per woman Once in the United States they forced the women to work in prostitution to pay off their smuggling fees  While most of the women knew they would work in prostitution at least two victims were promised other work The women were expected to work between 6 and 7 days per week and have sex with between 20 and 25 men per night The women charged 30 for 15 minutes of sex with defendant keeping 15 and applying the other 15 to the debt When victims refused to engage in prostitution they were threatened with deportation if they went to the police After the debt was repaid the women could continue working for defendant under the same profit sharing agreement
927,Minor,The defendant recruited a sixteen year old minor victim to engage in commercial sex trafficking 
1197,Adult,Andrew Blane Fields would get the female victims addicted to drugs and then wait for them to have withdrawals so that he could force them into engaging in prostitution in order to receive more drugs
165,Notrelated,The executive staff hires senior staff that has been let go from their company so that they can come on board and release seasoned professionals that have worked for years here It is shameful and unprofessional to let an employee get let go who has worked at the company for over ten years The pay is significantly lower than industry standards I was told two weeks after I started there that I should have never started thinking this company paid well The company has very few levels of seniority so it takes years if ever to get a promotion If you are lucky you might get a 2 increase a year That is pretty tough when the raise is lower than the cost of living
1338,Adult,The defendant forced two victims to engage in commercial sex acts The two victims were forced to get tattoos identifying them as the defendants belongings The minor victim was introduced to the defendant by a third party Upon meeting the defendant asked the minor victim about her sexual history and she stated she was a minor the defendant responded that it would be their secret Quickly after the defendant engaged the victim in commercial sex acts and was only allowed one meal a day   
68,Notrelated,Terrible pay long hours standing guests can be really mean to you on heavy days its really hard
861,Minor,Azerbaijan nationals brought young Azerbaijan women into the US by convincing them they would be working in legitimate massage parlors When the women arrived one of which was underage they were forced to work in a brothel and were subjected to violence and threats
1179,Adult,The defendants were members of a child exploitation enterprise that prostituted underaged girls The defendants recruited no less than 6 underaged girls and caused them to engage in commercial sex acts The 6 female victims were prostituted in the state of Virginia Florida Georgia and South Carolina The website Backpagecom was used to advertise the services of the underaged girls which would take place at various motels within the abovementioned states
1218,Adult,The defendant helped traffick victims from Korea and then forced them to work at her massage center and engage in commercial sex acts 
597,Minor,Defendant befriended one of the victims at a convenient store in Dallas and convinced her to go to a party with him After the party the defendant convinced the victim to move into his duplex and led the victim to believe the two were in a romantic relationship due to their sexual activities The defendant prostituted the victim through internet advertisements by renting out motels in the Dallas area and by having the victim walk a track in Dallas The victim was also subject to the defendants violent behavior and was threatened assaulted and received a tattoo that served as a brand to mark the victim as property of the defendant
108,Notrelated,Low pay poor managing skill uncomfortable place to work no proper training poor treatment to employees laboratory is in a horrible condition and a mess everywhere A lot of the employees are unhappy and its kind of embarrassing for me to even say I work therenan
1131,Adult,In 2005 the defendant began smuggling Latin American women into the United States from Columbia and Guatemala for between 1500020000 per woman Once in the United States they forced the women to work in prostitution to pay off their smuggling fees  While most of the women knew they would work in prostitution at least two victims were promised other work The women were expected to work between 6 and 7 days per week and have sex with between 20 and 25 men per night The women charged 30 for 15 minutes of sex with defendant keeping 15 and applying the other 15 to the debt When victims refused to engage in prostitution they were threatened with deportation if they went to the police After the debt was repaid the women could continue working for defendant under the same profit sharing agreement
710,Minor,The defendants reportedly married trafficked several victims from Mexico and forced them to work at their brothel The defendants were charged with trafficking a minor victim from Mexico and forced her to work as a prostitute in NY The victim then became pregnant with Salazars child and the couple beat the infant so much that he died and was then buried in a plastic container The victim was also severely beaten often with wooden boards and bricks 
426,Minor,The defendants knowingly recruited harbored and transported individuals to engage in interstate and foreign commerce  The defendants forced these victims at least four of whom had not attained the age of eighteen at the time  to commit commercial sex acts for the defendants own personal gain  These victims were forced to commit commercial sex acts through means of forceful coercion and maintained the victims under their control by any means possible  
993,Minor,The defendants contacted two minors 17 and 13 who had run away from home and stated they could earn money if they performed commercial sex acts The defendants drugged the victims and forced them to turn over all profits They repeatedly threatened the victims with force  No information on the female codefendant indicated she was being pimped by the male codefendant
381,Labor,Defendants husband and wife owned and operated a Comfort Suites hotel in Oacoma South Dakota Defendants brought workers from the Philippines to South Dakota using temporary H2B visas Defendants promised the victims employment at the hotel for 40 hours a week at 605 per hour When the workers arrived the Farrells confiscated their visas and passports forced the victims to work for up to 18 hours a day at the hotel and local fast food restaurants compelled the workers to sign debt contracts for the costs of transportation to the United States and for purported visa fees and threatened deportation and legal sanction if they refused to comply with the defendants demands
