class,complain
notrelated,notrelated_Total discrimination. Only white folks can get promoted_ even if they do not have the qualifications for the job. Non Whites have to work the hardest with the longest hours and remain on the lowest pay scales. Non whites cannot expect a promotion. Promotions are only for whites._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_We are being outpaced by our value and premium competitors in the category_ which has put a strain on our businesses and resulted in a complete restructure of how we find value ($) in our organization. While this is an exciting challenge to overcome_ it is a challenge none-the-less_ and company culture and morale are low as a result of cost cutting (lay-offs) and burn out (being over-worked). Senior management is not as visible as they should be in 'rallying the troops' to help boost positivity._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_The same people are tasked with improvements continuously and accountability to other leaders has been low in the past._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_I did it one time and I had a really bad time_ wasn't even able to finish. I picked the 72 dollar block_ from 3 pm to 7 pm. 50 stops with about 65 packages. ( picked randomly) The GPS is not good ( like the apple GPS compared to google maps/ Waze) and you MUST use their GPS. AMAZON!_ ITS ILLEGAL TO MAKE U TURNS IN NEW JERSEY! So please fix that glitch in the app_ asking to make U turns. ( the app will ask you to make 15 U turns a day... SIGH) In my first delivery and only delivery I had wrong address (2 places I had to call for supp_ and you will be on the phone with supp for an average of 8-12 minutes to get one issue fixed! ( kinda long when you're out delivering and trying to make ends meet in a timely manner.) Issues with parking were defiantly present . (jersey city area) lets take a look_ Amazon averages 18.00 dollars an hour for 12 packages to be delivered WITH travel time. meaning if you take 12/18.00 = 1.50 PER DELIVERY with 20-45 min to get to your destination. Not counting the cost of car insurance_ gas_ wear and tear in your car (opening and closing doors and cardboard box fragments left in the car after you're finished with your block). Possibilities for risks with getting a traffic ticket/parking tickets_ minor accidents. NOT worth unless you get a route in your neighborhood. ( but you cant do that because amazon is not even sure where you're going until the very last second.) As my first time I had NO TRAINING at all. (AMAZON_ watching 19 videos a week before my first delivery is not THAT helpful_ I kinda forgot some of the stuff). When I got to the hub_ I was told to put on a vest_ show my ID and ask a bold guy for a route. THAT WAS IT. so I did that and he told me to load up the packages and go! (Moonachie NJ) so I did that_ but I was not aware that the packages had a certain order to start and stop number on it ( to help you synchronize your delivery) _I was not informed about this_ found out AFTER the delivery was over. I had no idea in how to use the app because the things that need understanding ( the inter something) ONLY shows up when you are delivering_ All this means is that I had to search threw ALL the packages in EVERY delivery.....SIGH!!! One other issue that I experienced with the app_ was the description of the packages. The app would say the size of the package_ (as in small_ med_ large) but the actual size of compared to other packages was way off_ and it happened often. Out of 50 packages it must of gotten it wrong 20/50 size items. AMAZON_ instead telling us the of size package just tell us the the dimensions in inches because it would be accurate description and it makes the experience better. If you so some crazy reason decide to join flex_ please try to go with someone with experience first so you can see hows it works_ OR get the smallest block possible. Because of Amazons lack or training is frustrating. Amazon def needs to improve their conditions to make it more worth while for drivers. well I hope my experience helps you guys out_ goo luck out there!_notrelated
notrelated,notrelated_The place is better renamed 'Amazon Romania'_ the Romanians has dominated and being favored against other nationalities. Shift can be cancelled anytime._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_The app itself is awful If you're late you miss your block You never know where your route is until you get there Trying to find a customer can be a challenge If you can't deliver a package you have to bring it all the way back to the warehouse You never know how many miles you'll be driving that day_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_There is very little support for conference travel. The college admin is_ well_ a college admin. There's also the way the profession thinks about cc professors - if you care about that this might not be a good choice._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_It feels like the entire university system is chronically underfunded_ attempts to secure funding are poorly managed_ and any existing funding is misappropriated. The CUNY system is large and segmented_ but even within individual colleges_ the bureaucracy prevents progress on even minor issues and limits accountability. They are in desperate need of an outside management consulting firm because they are wasting federal_ state_ and municipal tax dollars on extremely inefficient_ frustrating_ and dated practices._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_You are treated like dirt_ you are cleaning dirt_ you get covered in dirt. I have never worked for a company that cares so little for its staff. Even those who have given 30 years loyal service got pushed out without even a second thought. You are dealing with chemicals all day that are hazardous to health without adequate PPE. You are pressured to bring in sales but not rewarded or thanked when you do. I was once involved in a crash at work that disabled my van and gave me serious whiplash_ when I phoned the office to report this thier first response was .... Did you get all your work done? I wasn't even asked if I was ok. Manager cooks the books at everyone else's expense_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_depressing enviorenment that is a nightmare_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Create a rotating on call schedule_ don’t keep wages secret_ and push your hard workers for raises_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Dangerous job_ hazardous chemicals_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Don't apply if you cannot multitask_ if your day absolutely MUST be structured_ or if you are not a self motivated_ career oriented person. This environment isn't for everyone_ and if you need coddling_ you may be pressured beyond your comfort level_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_The female manager is a grown women who acts like she's in high school. She acts nice and then talks about you negatively with her co-workers like you're not there._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Company headquarter staff is awful to deal with. No urgency to assist with mandatory bid paperwork and will constantly find a reason to withhold/reduce bonus or commissions earned._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_late hours_ limited vacation time_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Low pay_ poor managing skill_ uncomfortable place to work_ no proper training_ poor treatment to employees_ laboratory is in a horrible condition and a mess everywhere. A lot of the employees are unhappy and it's kind of embarrassing for me to even say I work there._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_No money to be made..no base pay all commission..for promoting the company.._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Office is in a crappy area_ parking is a problem. Could work harder on providing customers with better technology._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Insanely expensive poor quality health insurance_ integrity issues with some employees_ not enough training._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Installers are struggling to provide for their families. They cannot provide steady work. Stay away!! Gold medal is no longer the place to be._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Worked there for over two years and dealt with terrible management from begining to end. No guidance from management most of them have no knowledge of the Feild they are in charge of.. so many communication issues between departments. Always behind schedule very disorganized and you get no support form any team members. Extremely frustrating place to work_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_no communication between depts. scheduling issues. dispatch issues. no follow up with complaints. abuse of system. management leaves early leaving us with no support._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_unprofessional environment_ no respect for employees_ not a good place to work_ it's a plumbing company so do not expect professionalism_ no room for growth_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Work weekend and holidays_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_I regret not coming to work here sooner :). Honestly_ I cannot think of any cons. If I was forced to_ I would say we may appear to too big to have core values or integrity. Nothing could be farther than the truth. The owners are more engaged than many smaller company owners._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Designers are overwhelmed with multiple projects with a short time frame to complete each project - Can be overworked and understaffed - Not many mentors; must seek external opertunities_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_General sense that the culture has becoming increasingly corporate_ with productivity targets_ and a sense that staff are disposable and replaceable. Little effort made to retain staff. Attendings receive less generous benefits than at comparable academic institutions such as time off for CMEs outside of existing vacation days. Institution is risk averse and quick to throw people under the bus_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_After the company began reorganizing the culture really began to degrade. Many of the people who were promoted were wildly unqualified and ill suited to their new roles. Many of the people who were demoted were the long-time coworkers that had the institutional knowledge that made the place run._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Over worked_ under staffed_ old_ broken equipments and few hand washing areas_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_They pretend to be Christian based company but a lot of people who work there are very rude. My manager was horrible. He walks around without speaking and just sits on his butt._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_From the standard of staff employed to the management. Nepotism and favouritism reigned supreme. If you’re White_ you’re automatically seen as better. Racist store._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_You'll need to grow some thick skin because customers aren't always the nicest to deal with as people are sometimes. Its very rare to get full time roles. And sometimes it feels like you won't get anywhere unless your brown nosing the right person. And you can say good bye to your weekends and social life because trying to swap a weekend shift is like trading in gold dust and you can't book days off unless you have holidays left_ that could just be with my manager because I've heard other managers not be so strict._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Awful staffing_ overworked to death_ burnt out_ TERRIBLE manager_ felt like I was not cared about or valued_ one of my patients had cockroaches in his room_ lazy staff members_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Some of the managers make it seem like they only notice when things are negative and you never get any feedback on the work you do day in and day out. There are issues with some staff members bulling others into giving them patient assignments that are less work._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_It's a high pressure environment_ not only because of acuity_ but also because of staffing issues. The culture here is very political because of management-union relations. Experiences vary widely based on your unit. And ICUs seem to take priority for staffing_ which is problematic if you don't actually work in an ICU._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Limited resources_ crowded space_ trouble dealing with what at times is an extremely abusive patient population_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_need of remodeling with apathetic HR representatives to say the least_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_staff bullying goes on with support of management. Racially motivated bullying also goes unchecked_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_very disorganized. Many services are just terrible. The department environmental service is horrid. The hospital is always dirty. Dietary is also bad_ they always messed up the pts orders. There is also a lack of communication between the interdisciplinary teams. This sometimes causes pts care to be delayed_ and therefore stay longer then needed. Medicals supplies are also always lacking._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_The most unfriendly coworkers to work with_ with god-like complex who look down on floor nurses. There is very little supportive system among the staff. Dog eat dog world._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Poor management_ dripping in systemic racism_ difficulty for minorities to reach senior leadership positions._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Spread way too thin_ responsible for more than any individual can handle_ medstar lacks ethical practices_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Bad communication_ lazy account managers and unqualified supervisors. The only way you can progress is by knowing someone in upper management._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_You’ll never ever get your week vacation because they’ll tell you_ you don’t have it. They tell you they offer personal and sick leave but you’ll never know how much because they won’t post it on your paycheck. It’s just terrible. Management get plenty of vacation time too. I think they take everyone’s leave._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Low pay for the majority of workers_ high turnover_ poor benefits._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_I never work for you allied universal so I don't have no challenge my challenges is work good under pressure don't never let no one see.me under pressure_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Management completely disconnected from workers. More than half of the guards are undisciplined and lazy. Badly underpaid. Hours constantly_ randomly change._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_Not enough oversight of sites_ they need more surprise site inspections to keep those bad officers on their toes_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
notrelated,notrelated_They offer little support to their employees. The company that they sent me to was a great company to work for though_ so it balanced out._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
