,class,complain
19,Notrelated,- very disorganized & only concerned about numbers. Extremely cookie cutter type company & doesn't embrace individuality. This is the type of company that immediately jumps to firing rather then trying to retain the employee. - they also staff their properties very thin!..do not work for one of their properties unless you want to be juggling 5-6 different titles with no help or training - micro manager (even from a distance). Everything..I? mean everything has to go thru them down to doing a office supply order. They want to be copied on everything which shows lack of trust to property management & employees. I? would not recommend working for one of their properties
20,Notrelated,"We were understaffed at times, but the people we did have were excellent."
21,Notrelated,"The only positive experience was the recruiter who initially interviewed me. He was genuine. The GM I worked under was completely disorganized and self centered. I had a few days with a company mentor, then they were busy with their new role. After 2 1/2 months, they decide to give me another mentor. Training was horrible and you're evaluated on doing 250 contact calls and 30 visits per month. Its all about quantity not quality with this company. I didn't feel appreciated. No one seems to care at this company. I will make sure to read employer reviews before taking another role at a different company."
22,Notrelated,"Work life balance is OK but not great, I'm sorry but 15 days of PTO in your first 5 Years is garbage. And you have no ability to take un paid leave outside of FMLA. For an hourly worker, you should be able to take unpaid leave if approved by management. The 401k only matches dollar to dollar to 3%, 50� to 6% - cheap. Wages are incredibly low. Other major employers in my region have moved to $15/hour minimum concord just upped the pay to $11, again - cheap! You're asked to do more than your fare share, with no reward. Under staffed hotels so management can qualify for bonuses. All in all the workers get next to nothing while management, and even more so corporate lines their pockets. They're just like any other corporation, greedy, exploiting, opportunistic vultures."
23,Notrelated,The culture is not what it used to be. They are having a hard time making the reality match the verbiage of what they want to be. It has more of a rotating door at Management level than it used to. Growing too quickly and unrealistic demands on personnel. Hotel level cannot have a work/life balance despite the rhetoric.
24,Notrelated,"Locations somewhat limited to select locations in US & Canada. Very hands on, minimal administrative support."
25,Notrelated,"Great Benefits, Great Company, Great Everything!"
26,Notrelated,"When people complain, and openly talk about being unhappy they should be asked to find their happiness elesewhere immediately - we dont need or want them in our company - poisoning our thriving culture!"
27,Notrelated,I don't have any cons to list for this company
28,Notrelated,"stress,bad managers,mean and rude people , they want to control all you do and don`t do"
29,Notrelated,"In my department, staff not appreciated like they should have been"
30,Notrelated,I pay was average for the amount of hours.
31,Notrelated,"Busy, good people to work with"
32,Notrelated,"Working weekends, some guests are difficult"
33,Notrelated,"While you can move around, making the upper ranks requires an MBA that they won't help you pay for."
34,Notrelated,less pay in comparison to other companies
35,Notrelated,Long hours. Low Salary. hourly associates make more money than managers in nyc
36,Notrelated,Pay less competitive  politics  no promotion even if you do a great job.
37,Notrelated,Takes forever to get promoted
38,Notrelated,"Hotels in and of themselves can be hectic. There is nothing company specific towards this con, it just is a hotel industry, typical customer service industry issues."
39,Notrelated,"Corporate America is not great to mothers, unfair work load"
40,Notrelated,"Just wish there were more benefits for part-time employees, but still great nonetheless"
41,Notrelated,Job may require you to work weekends
42,Notrelated,"Terrible training Unreliable and nonexistent management Employee discount is barely worth anything to be honest, unless you're not into going to concerts and live areas during certain seasons.. The discount isn't always available, for this to be a large company it's unusual."
43,Notrelated,All the departments work next to each other Busy work
44,Notrelated,My location specifically does not pay well in my opinion and it takes forever for any type of position movement to occur.
45,Notrelated,Favoritism exists on all levels of management. Incompetent management still on the job.
46,Notrelated,Very long hours for managers
47,Notrelated,Being a bartender you will work late hours
48,Notrelated,"Work-life balance can be difficult, but this is true of all Hospitality jobs"
49,Notrelated,"Low hourly pay pretty much across the board for all departments. 10$ is the baseline from restaurant staff, front desk and housekeeping meaning I pretty much always make more than front desk and housekeeping because of tips. I'm cross trained on front desk but rarely work shifts there because they hourly isn't really worth it."
50,Notrelated,Very busy location. Not enough breaks. Always seemed short staffed. Needs to focus more on employee work quality
51,Notrelated,"No work life balance valued within the company. In all 3 hotels I've worked in you almost feel shame for taking your vacation days or not working 12 hour days. People are recognized for emplyee of the month, etc. for picking up extra shifts, working long hours, etc. but not generally for the quality of the work they do, positive attitude, etc. As the business mix changes and more 3rd party planners come into the mix, volume is increasing, etc. the staff models need to change to accommodate the business mix, all of the system updates and changes that need to be managed."
52,Notrelated,Some departments focus more on who you know than your actual knowledge for the position.
53,Notrelated,The employees lunch too much rooms
54,Notrelated,"Those in power ie managers etc. are all that matters. Lower level, good luck"
55,Notrelated,Mean people and transportation
56,Notrelated,Depending on the department there is no work life balance Poor communication no matter what department
57,Notrelated,"As a manager you have various duties that you have to complete every day. Multiple call-offs happen every day or every other day and you are expected to help work those shifts. With a limited on-call sheet, most employees get worked for at least 50 hours a week, meaning they aren't going to come in on their day off if someone else calls off. At least once a week I had to work the jobs of three different people on one shift, all while still having to complete my management duties. If you're there, you're able to get pulled to do whatever they need even if you're not the only manager on. It's super stressful to feel like you're never doing enough, especially when you're putting in 50-60 hours per week with no guaranteed days off."
58,Notrelated,They are particular about the wrong things. The uniform u are required to wear is humiliating The cleaning staff and janitors work just as hard as everyone else and are treated like they are nothing
59,Notrelated,"No real overhead, too many bosses that you're not even sure which one you should report to."
60,Notrelated,Long hours and sparatic days off
61,Notrelated,I really dont have any cons.
62,Notrelated,None that come to mind at the moment
63,Notrelated,"low pay, low bonuses , not the best work life balance, so many employees that it's hard to feel ""valued"""
64,Notrelated,"The calls are back to back, but that's to be expected when you work in a call center. They give up vacation hours that we can use with or without pay, but nothing is barely open because it's so busy."
65,Notrelated,Busy hours. Difficult to request time off.
66,Notrelated,Can be boring working alone at night
67,Notrelated,There is many weeks that there will not be work. As a lighting technician they would not get the thing that I need do my job as best as possible.
68,Notrelated,"Terrible pay, long hours standing, guests can be really mean to you, on heavy days it's really hard."
69,Notrelated,"I've worked at 2 properties over the last 8 years and one was perfect, at the other property it was very toxic with upper management and slightly mismanaged so properties can make a difference"
70,Notrelated,Seriously like literally everything else
71,Notrelated,Stop hiring millennials that don't want to work
72,Notrelated,"the communication in upper management is so disjointed that one person will tell you to do something and as you're working on it, another will actually berate you for doing it that way. If you work less than 12 hours a day, they think you're a slacker. The ""leaders"" here are so antiquated in their management style, they actually think time = quality of work."
73,Notrelated,Some management are not employee focused
74,Notrelated,None love  my time with the company
75,Notrelated,Very busy location. Not enough breaks. Always seemed short staffed. Needs to focus more on employee work quality
76,Notrelated,"Long hiring process, complicated relationships between hotels/brands"
77,Notrelated,There is barely any work life balance due to the nature of the business
78,Notrelated,Turnover because there are so many opportunities
79,Notrelated,"No problem for me,I ready for new oppurtunity"
80,Notrelated,With the renovations and company change its been a challenging year.
81,Notrelated,Bureaucracy is significantly stifling speed-to-market.
82,Notrelated,None so far that I've worked
83,Notrelated,notrelated_Hours could be challenging for someone who is use to office job. But for someone who is up for a challenge on daily basis_ this is the right place to be_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
84,Notrelated,notrelated_Early days Late nights Difficult helpers Misplaced packages_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
85,Notrelated,notrelated_Everybody have to work on the weekends._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
86,Notrelated,notrelated_Located in a very old greenhouse on a huge property. Third generation is starting soon. We do not know what to expect. They have a real issue about violating non-compete agreements_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
87,Notrelated,"notrelated_The company preaches safety non stop yet the average employee works 10-12 hours a day. There's no overtime, obviously. Saturday work is also mandatory. So, if you've worked a 55 hour week, guess what? You get to work an extra day, for free. Company preaches safety non stop which isn't a bad thing until you realize it's to protect only them. If you're injured or involved in an accident, their first question is, ""what could have you done differently?"". Routing is also designed to keep you on the road as long as possible. Out of place stops are pathetically obvious. These are only a few reasons why drivers threatened to form a union over this past summer._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated"
88,Notrelated,notrelated_Working with old equipment is challenging. Trucks break down every day. New routing system needs major improvements. I don't know how it is cost effective to drive in circles every day._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
89,Notrelated,notrelated_Physically hard and long hours_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
90,Notrelated,notrelated_Because of the types of projects Parker gets involved with and that fact that they are pushing the envelope it's no 9-5. This place is for people who enjoy a challenge but like to work. Sometimes the work loads can get a bit overwhelming but the end results are very rewarding._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
91,Notrelated,notrelated_Underpaid in regards to work that you end up doing. Lot's of physical work and sometimes long hours. I do not trust a lot of the chemicals we ended up working with. You're also not supposed to share how much you make with other employees. They said it was because it was none of their business_ but it really seemed that there was worry about the discrepancy in what employees were being paid... Probably to avoid a union._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
92,Notrelated,notrelated_Total discrimination. Only white folks can get promoted_ even if they do not have the qualifications for the job. Non Whites have to work the hardest with the longest hours and remain on the lowest pay scales. Non whites cannot expect a promotion. Promotions are only for whites._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
93,Notrelated,notrelated_We are being outpaced by our value and premium competitors in the category_ which has put a strain on our businesses and resulted in a complete restructure of how we find value ($) in our organization. While this is an exciting challenge to overcome_ it is a challenge none-the-less_ and company culture and morale are low as a result of cost cutting (lay-offs) and burn out (being over-worked). Senior management is not as visible as they should be in 'rallying the troops' to help boost positivity._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
94,Notrelated,notrelated_The same people are tasked with improvements continuously and accountability to other leaders has been low in the past._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
95,Notrelated,notrelated_I did it one time and I had a really bad time_ wasn't even able to finish. I picked the 72 dollar block_ from 3 pm to 7 pm. 50 stops with about 65 packages. ( picked randomly) The GPS is not good ( like the apple GPS compared to google maps/ Waze) and you MUST use their GPS. AMAZON!_ ITS ILLEGAL TO MAKE U TURNS IN NEW JERSEY! So please fix that glitch in the app_ asking to make U turns. ( the app will ask you to make 15 U turns a day... SIGH) In my first delivery and only delivery I had wrong address (2 places I had to call for supp_ and you will be on the phone with supp for an average of 8-12 minutes to get one issue fixed! ( kinda long when you're out delivering and trying to make ends meet in a timely manner.) Issues with parking were defiantly present . (jersey city area) lets take a look_ Amazon averages 18.00 dollars an hour for 12 packages to be delivered WITH travel time. meaning if you take 12/18.00 = 1.50 PER DELIVERY with 20-45 min to get to your destination. Not counting the cost of car insurance_ gas_ wear and tear in your car (opening and closing doors and cardboard box fragments left in the car after you're finished with your block). Possibilities for risks with getting a traffic ticket/parking tickets_ minor accidents. NOT worth unless you get a route in your neighborhood. ( but you cant do that because amazon is not even sure where you're going until the very last second.) As my first time I had NO TRAINING at all. (AMAZON_ watching 19 videos a week before my first delivery is not THAT helpful_ I kinda forgot some of the stuff). When I got to the hub_ I was told to put on a vest_ show my ID and ask a bold guy for a route. THAT WAS IT. so I did that and he told me to load up the packages and go! (Moonachie NJ) so I did that_ but I was not aware that the packages had a certain order to start and stop number on it ( to help you synchronize your delivery) _I was not informed about this_ found out AFTER the delivery was over. I had no idea in how to use the app because the things that need understanding ( the inter something) ONLY shows up when you are delivering_ All this means is that I had to search threw ALL the packages in EVERY delivery.....SIGH!!! One other issue that I experienced with the app_ was the description of the packages. The app would say the size of the package_ (as in small_ med_ large) but the actual size of compared to other packages was way off_ and it happened often. Out of 50 packages it must of gotten it wrong 20/50 size items. AMAZON_ instead telling us the of size package just tell us the the dimensions in inches because it would be accurate description and it makes the experience better. If you so some crazy reason decide to join flex_ please try to go with someone with experience first so you can see hows it works_ OR get the smallest block possible. Because of Amazons lack or training is frustrating. Amazon def needs to improve their conditions to make it more worth while for drivers. well I hope my experience helps you guys out_ goo luck out there!_notrelated
96,Notrelated,notrelated_The place is better renamed 'Amazon Romania'_ the Romanians has dominated and being favored against other nationalities. Shift can be cancelled anytime._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
97,Notrelated,notrelated_The app itself is awful If you're late you miss your block You never know where your route is until you get there Trying to find a customer can be a challenge If you can't deliver a package you have to bring it all the way back to the warehouse You never know how many miles you'll be driving that day_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
98,Notrelated,notrelated_There is very little support for conference travel. The college admin is_ well_ a college admin. There's also the way the profession thinks about cc professors - if you care about that this might not be a good choice._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
99,Notrelated,notrelated_It feels like the entire university system is chronically underfunded_ attempts to secure funding are poorly managed_ and any existing funding is misappropriated. The CUNY system is large and segmented_ but even within individual colleges_ the bureaucracy prevents progress on even minor issues and limits accountability. They are in desperate need of an outside management consulting firm because they are wasting federal_ state_ and municipal tax dollars on extremely inefficient_ frustrating_ and dated practices._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
100,Notrelated,notrelated_You are treated like dirt_ you are cleaning dirt_ you get covered in dirt. I have never worked for a company that cares so little for its staff. Even those who have given 30 years loyal service got pushed out without even a second thought. You are dealing with chemicals all day that are hazardous to health without adequate PPE. You are pressured to bring in sales but not rewarded or thanked when you do. I was once involved in a crash at work that disabled my van and gave me serious whiplash_ when I phoned the office to report this thier first response was .... Did you get all your work done? I wasn't even asked if I was ok. Manager cooks the books at everyone else's expense_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
101,Notrelated,notrelated_depressing enviorenment that is a nightmare_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
102,Notrelated,notrelated_Create a rotating on call schedule_ don’t keep wages secret_ and push your hard workers for raises_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
103,Notrelated,notrelated_Dangerous job_ hazardous chemicals_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
104,Notrelated,notrelated_Don't apply if you cannot multitask_ if your day absolutely MUST be structured_ or if you are not a self motivated_ career oriented person. This environment isn't for everyone_ and if you need coddling_ you may be pressured beyond your comfort level_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
105,Notrelated,notrelated_The female manager is a grown women who acts like she's in high school. She acts nice and then talks about you negatively with her co-workers like you're not there._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
106,Notrelated,notrelated_Company headquarter staff is awful to deal with. No urgency to assist with mandatory bid paperwork and will constantly find a reason to withhold/reduce bonus or commissions earned._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
107,Notrelated,notrelated_late hours_ limited vacation time_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
108,Notrelated,notrelated_Low pay_ poor managing skill_ uncomfortable place to work_ no proper training_ poor treatment to employees_ laboratory is in a horrible condition and a mess everywhere. A lot of the employees are unhappy and it's kind of embarrassing for me to even say I work there._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
109,Notrelated,notrelated_No money to be made..no base pay all commission..for promoting the company.._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
110,Notrelated,notrelated_Office is in a crappy area_ parking is a problem. Could work harder on providing customers with better technology._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
111,Notrelated,notrelated_Insanely expensive poor quality health insurance_ integrity issues with some employees_ not enough training._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
112,Notrelated,notrelated_Installers are struggling to provide for their families. They cannot provide steady work. Stay away!! Gold medal is no longer the place to be._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
113,Notrelated,notrelated_Worked there for over two years and dealt with terrible management from begining to end. No guidance from management most of them have no knowledge of the Feild they are in charge of.. so many communication issues between departments. Always behind schedule very disorganized and you get no support form any team members. Extremely frustrating place to work_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
114,Notrelated,notrelated_no communication between depts. scheduling issues. dispatch issues. no follow up with complaints. abuse of system. management leaves early leaving us with no support._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
115,Notrelated,notrelated_unprofessional environment_ no respect for employees_ not a good place to work_ it's a plumbing company so do not expect professionalism_ no room for growth_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
116,Notrelated,notrelated_Work weekend and holidays_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
117,Notrelated,notrelated_I regret not coming to work here sooner :). Honestly_ I cannot think of any cons. If I was forced to_ I would say we may appear to too big to have core values or integrity. Nothing could be farther than the truth. The owners are more engaged than many smaller company owners._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
118,Notrelated,notrelated_Designers are overwhelmed with multiple projects with a short time frame to complete each project - Can be overworked and understaffed - Not many mentors; must seek external opertunities_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
119,Notrelated,notrelated_General sense that the culture has becoming increasingly corporate_ with productivity targets_ and a sense that staff are disposable and replaceable. Little effort made to retain staff. Attendings receive less generous benefits than at comparable academic institutions such as time off for CMEs outside of existing vacation days. Institution is risk averse and quick to throw people under the bus_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
120,Notrelated,notrelated_After the company began reorganizing the culture really began to degrade. Many of the people who were promoted were wildly unqualified and ill suited to their new roles. Many of the people who were demoted were the long-time coworkers that had the institutional knowledge that made the place run._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
121,Notrelated,notrelated_Over worked_ under staffed_ old_ broken equipments and few hand washing areas_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
122,Notrelated,notrelated_They pretend to be Christian based company but a lot of people who work there are very rude. My manager was horrible. He walks around without speaking and just sits on his butt._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
123,Notrelated,notrelated_From the standard of staff employed to the management. Nepotism and favouritism reigned supreme. If you’re White_ you’re automatically seen as better. Racist store._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
124,Notrelated,notrelated_You'll need to grow some thick skin because customers aren't always the nicest to deal with as people are sometimes. Its very rare to get full time roles. And sometimes it feels like you won't get anywhere unless your brown nosing the right person. And you can say good bye to your weekends and social life because trying to swap a weekend shift is like trading in gold dust and you can't book days off unless you have holidays left_ that could just be with my manager because I've heard other managers not be so strict._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
125,Notrelated,notrelated_Awful staffing_ overworked to death_ burnt out_ TERRIBLE manager_ felt like I was not cared about or valued_ one of my patients had cockroaches in his room_ lazy staff members_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
126,Notrelated,notrelated_Some of the managers make it seem like they only notice when things are negative and you never get any feedback on the work you do day in and day out. There are issues with some staff members bulling others into giving them patient assignments that are less work._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
127,Notrelated,notrelated_It's a high pressure environment_ not only because of acuity_ but also because of staffing issues. The culture here is very political because of management-union relations. Experiences vary widely based on your unit. And ICUs seem to take priority for staffing_ which is problematic if you don't actually work in an ICU._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
128,Notrelated,notrelated_Limited resources_ crowded space_ trouble dealing with what at times is an extremely abusive patient population_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
129,Notrelated,notrelated_need of remodeling with apathetic HR representatives to say the least_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
130,Notrelated,notrelated_staff bullying goes on with support of management. Racially motivated bullying also goes unchecked_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
131,Notrelated,notrelated_very disorganized. Many services are just terrible. The department environmental service is horrid. The hospital is always dirty. Dietary is also bad_ they always messed up the pts orders. There is also a lack of communication between the interdisciplinary teams. This sometimes causes pts care to be delayed_ and therefore stay longer then needed. Medicals supplies are also always lacking._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
132,Notrelated,notrelated_The most unfriendly coworkers to work with_ with god-like complex who look down on floor nurses. There is very little supportive system among the staff. Dog eat dog world._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
133,Notrelated,notrelated_Poor management_ dripping in systemic racism_ difficulty for minorities to reach senior leadership positions._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
134,Notrelated,notrelated_Spread way too thin_ responsible for more than any individual can handle_ medstar lacks ethical practices_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
135,Notrelated,notrelated_Bad communication_ lazy account managers and unqualified supervisors. The only way you can progress is by knowing someone in upper management._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
136,Notrelated,notrelated_You’ll never ever get your week vacation because they’ll tell you_ you don’t have it. They tell you they offer personal and sick leave but you’ll never know how much because they won’t post it on your paycheck. It’s just terrible. Management get plenty of vacation time too. I think they take everyone’s leave._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
137,Notrelated,notrelated_Low pay for the majority of workers_ high turnover_ poor benefits._nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_notrelated
